DayType,Month,Hour,EntryAvgs,ExitAvgs,EntryRatioToEntireDayAvg,ExitRatioToEntireDayAvg,FebEntryAvgs,FebExitAvgs,FebEntryRatioToEntireDayAvg,FebExitRatioToEntireDayAvg,FebEntryAvgsDiff,FebEntryAvgsDiffPerc,FebExitAvgsDiff,FebExitAvgsDiffPerc,FebEntryRatioDiff,FebExitRatioDiff
Weekday,Mar,20,798303.1363636364,664031.3636363636,1.7061290836666803,1.7076553029283168,1673285.45,1304327.55,1.909424249227467,1.855137136571755,-874982.3136363636,-52.29127604237302,-640296.1863636364,-49.09013739406458,0.20329516556078664,0.14748183364343825
Weekend,Mar,20,341027.55555555556,313924.55555555556,1.4974756230602047,1.5035919791284345,752201.4444444445,650994.5555555555,1.637594053893814,1.628478931719263,-411173.88888888893,-54.66273588354657,-337069.99999999994,-51.77769877235703,0.14011843083360942,0.12488695259082849
Weekday,Apr,0,42102.86363636364,56714.954545454544,0.5487470082229438,0.6934437180805815,553196.2,514552.65,0.6312648202734851,0.7318451026633674,-511093.3363636363,-92.38916253648098,-457837.6954545455,-88.97781314595221,0.08251781205054132,0.03840138458278597
Weekend,Apr,0,40327.75,54232.875,0.9175311581927063,1.019332314462291,547491.8888888889,511030,1.1919273333245444,1.278354145014774,-507164.1388888889,-92.63409178867592,-456797.125,-89.38753595679314,0.2743961751318381,0.25902183055248296
Weekday,Apr,4,11887.59090909091,21698.31818181818,0.15493672835849193,0.265301498638006,89611.2,108431.55,0.1022573872750596,0.15422153367920283,-77723.60909090909,-86.73425764961198,-86733.23181818183,-79.98892556472893,-0.05267934108343232,-0.11107996495880318
Weekend,Apr,4,9345.625,19499.25,0.21263031362485413,0.36649754660395245,148504.88888888888,165183.11111111112,0.3233053124462158,0.4132096252183333,-139159.26388888888,-93.70685701331195,-145683.86111111112,-88.1953730809176,0.11067499882136167,0.04671207861438087
Weekday,Apr,8,105394.95454545454,88195.81818181818,1.3736634754378065,1.0783546697572124,524161.05,304746.85,0.5981321473694347,0.43343959014609645,-418766.09545454546,-79.8926389998924,-216551.0318181818,-71.05931753459693,-0.7755313280683719,-0.6449150796111159
Weekend,Apr,8,46195.125,43030.625,1.0510248289107833,0.8087807731751068,135323.66666666666,98449.22222222222,0.29460888904316507,0.24627315676429637,-89128.54166666666,-65.86323284175471,-55418.59722222222,-56.29155413450589,-0.7564159398676182,-0.5625076164108104
Weekday,Apr,12,83873.59090909091,99444.63636363637,1.0931651223962653,1.21589198009325,1438971.15,1212222.45,1.6420428491437218,1.7241366133690863,-1355097.559090909,-94.17128057716161,-1112777.8136363635,-91.79650266635167,0.5488777267474565,0.5082446332758364
Weekend,Apr,12,47339.25,59324.125,1.0770557960826992,1.1150247454095004,463328.6666666667,376724.6666666667,1.0086982352078175,0.9423860422336114,-415989.4166666667,-89.78279277633013,-317400.5416666667,-84.25265711297553,-0.06835756087488165,-0.17263870317588892
